City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Tumannyy,RU,22.08,few clouds,61.113,44.8302,
227,Vila Franca Do Campo,PT,58.03,overcast clouds,39.05,-27.9833,
230,Tiksi,RU,22.08,few clouds,61.113,44.8302,
231,La Grande,US,55.92,clear sky,34.8791,-76.9013,
233,Ketchikan,US,55.92,clear sky,34.8791,-76.9013,
235,Cajabamba,PE,70.02,overcast clouds,-13.7,-76.2167,
237,Karamay,CN,43.92,broken clouds,41.7597,86.1469,
238,Cabo San Lucas,AR,66.78,clear sky,-33.295,-66.3356,
239,Fortuna,US,55.92,clear sky,34.8791,-76.9013,
243,Menongue,AO,60.4,overcast clouds,-14.6585,17.691,
244,Vyazma,RU,22.08,few clouds,61.113,44.8302,
245,Ust-Kuyga,RU,22.08,few clouds,61.113,44.8302,
246,Shingu,JP,53.89,scattered clouds,35.7333,140.8333,
247,Fairbanks,US,55.92,clear sky,34.8791,-76.9013,
249,Carora,VE,73.18,clear sky,8.0086,-62.3989,
250,Luau,AO,60.4,overcast clouds,-14.6585,17.691,
252,Tolaga Bay,NZ,58.8,clear sky,-46.6,168.3333,
254,Salamanca,CL,46.11,broken clouds,-53.15,-70.9167,
256,Quartz Hill,US,55.92,clear sky,34.8791,-76.9013,
257,Kysyl-Syr,RU,22.08,few clouds,61.113,44.8302,
258,Te Anau,NZ,58.8,clear sky,-46.6,168.3333,
260,Cervo,ES,50.38,clear sky,35.2937,-2.9383,
261,Hanzhong,CN,43.92,broken clouds,41.7597,86.1469,
265,Boende,CD,66.92,overcast clouds,-5.041,18.8162,
266,Chernyshevskiy,RU,22.08,few clouds,61.113,44.8302,
269,Dzilam Gonzalez,AR,66.78,clear sky,-33.295,-66.3356,
270,Taywarah,AF,33.19,scattered clouds,33.35,64.4167,
272,Arbazh,RU,22.08,few clouds,61.113,44.8302,
273,Yuli,NG,73.85,overcast clouds,9.6989,10.2744,
276,Waipawa,NZ,58.8,clear sky,-46.6,168.3333,
277,Srednekolymsk,RU,22.08,few clouds,61.113,44.8302,
278,Lata,PT,44.49,scattered clouds,40.1629,-8.3327,
279,Brae,GB,51.01,overcast clouds,50.1186,-5.5371,
281,Hit,IQ,63.9,overcast clouds,33.6416,42.8251,
282,Komsomolskiy,RU,22.08,few clouds,61.113,44.8302,
285,Dongli,CN,43.92,broken clouds,41.7597,86.1469,
286,San Quintin,AR,66.78,clear sky,-33.295,-66.3356,
